"Country Name","Country Code","Indicator Name","Indicator Code","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Cambodia","KHM","GDP growth, constant 2010 USD","NYGDPMKTPKDZ","","","8.03863162927","6.68788084783","8.5058987891","10.34052872688","13.25008555709","10.77108716268","10.21257180781","6.69157747471","0.08669695927","5.96307857539","7.06956994589","7.3133455053","7.35666514888","7.03170955606","6.93183","6.92717","6.82463","6.82463",
"Cameroon","CMR","GDP growth, constant 2010 USD","NYGDPMKTPKDZ","","","4.51427108688","4.00904457129","4.03099331565","3.70185405379","2.2968529375","3.22400298454","3.25566486118","2.88404601223","1.93185014435","3.26864849862","4.14059077845","4.58873928089","5.56168753496","5.88629521675","6.29126731238","6.45034414821","6.47928400584","6.36535470957",
"Canada","CAN","GDP growth, constant 2010 USD","NYGDPMKTPKDZ","","","1.68845126016","2.8018680611","1.92531746061","3.13885938937","3.16312744442","2.62177993307","2.00830970795","1.17536166079","-2.71140802345","3.37418715683","2.96010247547","1.92286357635","2.00350823262","2.43930610759","1.2","1.9","2.3","2.4",
"Cape Verde","CPV","GDP growth, constant 2010 USD","NYGDPMKTPKDZ","","","2.23165449285","5.25089124614","4.17625930175","10.19707260914","6.92346999823","7.98375044705","15.17068796854","6.6505205226","-1.27040367456","1.46691270935","3.96878381178","1.08191831071","1.0452440226","1.81400041348","2.92278700349","3.46210869672","4.1180631651","4.14418498304",
"Chad","TCD","GDP growth, constant 2010 USD","NYGDPMKTPKDZ","","","11.65813465429","8.49120981898","14.7216670121","33.62937185247","17.33253373508","0.64826201409","3.27149957889","3.05269153197","4.2176955519","13.55010085955","0.08286979844","8.8825760717","5.70000136286","7.30000071306","4.12750353785","4.91786960164","6.08879313184","6.52775459262",
"Chile","CHL","GDP growth, constant 2010 USD","NYGDPMKTPKDZ","","","3.34818039062","2.16690863386","3.95674848147","6.79701354319","7.13266354159","5.65949411281","5.20740069458","3.29415970026","-1.03922895499","5.80673166904","5.79909665127","5.51263046373","4.18387213315","1.8759481549","2.14200414936","2.42117647588","2.85688999163","3.0899146365",
"China","CHN","GDP growth, constant 2010 USD","NYGDPMKTPKDZ","","","8.29837441007","9.09090909091","10.01997336884","10.0756429652","11.35239173332","12.68822510446","14.1949616724","9.6233769186","9.23354603856","10.63170811598","9.48451067432","7.75029402947","7.68382005402","7.31643829402","6.89451032965","6.7190171355","6.45436901025","6.4758380618",
"Colombia","COL","GDP growth, constant 2010 USD","NYGDPMKTPKDZ","","","1.6778983077","2.5039804655","3.91827190361","5.33302206745","4.70655593383","6.69751525771","6.90062765541","3.54680488578","1.65154924529","3.97180070474","6.58951151557","4.04394380637","4.93628950051","4.55250099165","3.12976125453","2.96094941048","3.33986606267","3.54016728318",
"Comoros","COM","GDP growth, constant 2010 USD","NYGDPMKTPKDZ","","","11.84824680112","2.32477925914","2.10410195294","1.91960237946","2.84800003809","2.64759623483","0.79973691396","0.39999996842","1.94999997781","2.19999998173","2.60000008818","2.99999997193","3.49999995659","3.00366028779","2.31391727882","2.46100021023","3.09776884603","3.09535342647",
"Congo, Dem. Rep.","ZAR","GDP growth, constant 2010 USD","NYGDPMKTPKDZ","","","-2.10017302489","2.9477651836","5.57782231144","6.73837393324","6.13515115549","5.32098105754","6.2594698472","6.2259002861","2.85506010709","7.07888942275","6.86463002774","7.15785962797","8.50350331668","9.04659616077","7.96970980593","8.56935971372","9.00264005236","9.0026399564",
"Congo, Rep.","COG","GDP growth, constant 2010 USD","NYGDPMKTPKDZ","","","3.80260190016","4.58187006146","0.81326407472","3.47663162278","7.75575856914","6.2359970127","-1.58222404941","5.57226491777","7.46887883618","8.75165712677","3.42062111507","3.79999621719","3.44070559759","6.5462017268","1.29274208288","3.46423728793","5.58825638632","5.59230245025",
"Costa Rica","CRI","GDP growth, constant 2010 USD","NYGDPMKTPKDZ","","","1.07639631703","2.902185091","6.40451078322","4.2594527736","5.88637731275","8.77964095891","7.93534051474","2.73162042159","-1.01571886151","4.95432052678","4.51774647381","5.16758277848","3.43727397081","3.50235223125","2.821344961","3.97442628513","4.1681618515","4.390174443",
"Cote d'Ivoire","CIV","GDP growth, constant 2010 USD","NYGDPMKTPKDZ","","","0.12137191547","-1.66764213833","-1.35953594246","1.23177283969","1.7317246768","1.51584236367","1.76503678378","2.54284147623","3.25145371883","2.01763859205","-4.38725984207","10.71033485108","9.17383561587","8.53706069935","8.41892166235","8.26357961019","8.01172908517","7.95408808591",
"Croatia","HRV","GDP growth, constant 2010 USD","NYGDPMKTPKDZ","","","3.43448088175","5.24640197858","5.55807533383","4.08262002233","4.16399847873","4.78519068676","5.15008294096","2.05311067935","-7.38365300022","-1.70113688803","-0.28136726812","-2.1875897994","-1.06387633531","-0.36043947713","1","1.4","1.7","2",
